County,N_RI,H_RI
Alachua,93.83,95.9
Baker,46.77,78
Bay,97.49,98.7
Bradford,70.22,86.2
Brevard,99.36,99.7
Broward,99.75,99.9
Calhoun,68.53,85.2
Charolette,96.6,98.1
Citrus,95.9,97.8
Clay,88.77,93.4
Collier,98.85,99.5
Columbia,84.95,90.8
DeSoto,90.42,95.2
Dixie,67.87,83.8
Duval,97.84,98.8
Escambia,97.87,98.9
Flagler,88.36,93.3
Franklin,70.66,87
Gadsden,80.05,88.2
Gilchrist,49.06,80.3
Glades,74.99,87.5
Gulf,76.26,89
Hamilton,65.07,86.2
Hardee,80.27,89.3
Hendry,91.15,94.4
Hernando,95.55,97.5
Highlands,90.3,94.3
Hillsborough,99.55,99.8
Holmes,83.2,90.9
Indian River,97.07,98.5
Jackson,85.81,92
Jefferson,49.7,80
Lafayette,52.08,81.7
Lake,95.23,96.5
Lee,99.49,99.8
Leon,94.56,96.2
Levy,83.26,90.8
Liberty,40.57,77.9
Madison,70.35,86.7
Manatee,98.44,99.2
Marion,96.25,97.3
Martin,96.53,98.2
Miami-Dade,99.81,100
Monroe,95.93,97.9
Nassau,83.07,90.5
Okaloosa,97.42,98.7
Okeechobee,87.59,93
Orange,98.57,99.1
Osceola,95.13,96.4
Palm Beach,99.71,99.9
Pasco,99.05,99.6
Pinellas,99.2,99.7
Polk,98.03,98.7
Putnam,90.17,94.5
Santa Rosa,95.51,97.3
Sarasota,98.41,99.3
Seminole,95.64,96.9
St. Johns,94.15,96
St. Lucie,98.31,99.1
Sumter,88.93,93.7
Suwanne,82.15,90.8
Taylor,74.01,88.2
Union,43.08,78.4
Volusia,97.52,98.2
Wakulla,68.6,83
Walton,94.69,97.1
Washington,87.72,93.4
